filename	artifact_type	quantification	instrument	size_bytes	sha256
DATA_LICENSE.md	license	not_applicable	all	585	f3d3a16644d601686049b97a2155a788a557bb4842bfb2580f13318d4e458a6f
fusion2.pt	trained_model	DDA	fusion2	37581786	0ad5b1280287e1f0d60a76b3f38420a8a574b734c0ffb2875febd33ef8313b78
fusion2_good_samples.csv	raw_input	DDA	fusion2	2402	01f758da5886f7ff8db1f3c43ecbb7a2bb6d83920516ae3fbd91585c430beec1
fusion2_missingness_features.csv.gz	processed_features	DDA	fusion2	148744	37a189eddd89638697dc7f9d91ff449cf74aa3575aee344f22c2aee00ecb4b8f
fusion2_peptide_auc.csv	raw_input	DDA	fusion2	66269016	cf04c942dacd03e2958ca63faf60c5b11c9c7b44eecea81664e4941f83d25f7d
fusion3.pt	trained_model	DDA	fusion3	31986714	68bdd603a649d3eb62568893463e39776fde204eb47d2d51c71dfdc3ffaa9f35
fusion3_good_samples.csv	raw_input	DDA	fusion3	1870	6e644164b81c718b44bfdb1cc67c486ba46e7a3cc20d70da0a0b3fa79ae05160
fusion3_missingness_features.csv.gz	processed_features	DDA	fusion3	127381	1d1f8ecddd6ecc26042a57f20e415bd5c77d7fd17317bed0e8cd7de01da6b5f6
fusion3_peptide_auc.csv	raw_input	DDA	fusion3	68080156	4373ba33c436e81ae3bf61c399d29a9c9ac4b5ba5877a4c8d68600dbf739b992
lumos1.pt	trained_model	DDA	lumos1	37548354	05046a579eb1e085c41b80240da35d71ab34a3d230eedb4c21e584e1dc905607
lumos1_good_samples.csv	raw_input	DDA	lumos1	2150	a2e1c58092478b01da6d8ac63cedcda37329ec26b1f0d5a41b09b97494663f98
lumos1_missingness_features.csv.gz	processed_features	DDA	lumos1	158449	4f66538a6e12cb33ce9a665647098ba20d3c0248f01a1a8e58e630fd1bf2d10a
lumos1_peptide_auc.csv	raw_input	DDA	lumos1	68361164	0b577f0079e816bdf0b2dc4a71c990bfc7ad4ad19d04681fe550f37902308127
m3.pt	trained_model	DIA	m3	466763682	01da176cdaa6ee075c71a4b4848d234d39995d3b9154923f6bb0be8eed68ce92
m3_missingness_features.csv.gz	processed_features	DIA	m3	1050803	6e4dcdbc6e457b9d99b31070ac2655bd7f5bd20f3e4e84162f0988cc4a5f6113
peptide_quantities.tsv	raw_input	DIA	m3	258987644	e3537eddba8bbb9391ec72364decfb849dce1778d89017c0a8504f9ee5703dae
qe_hf3.pt	trained_model	DDA	qe_hf3	51608002	418066b1bdbe15c93db071459d59b3c869b1c5a8416b2c2a22656989ebcdd9b6
qe_hf3_good_samples.csv	raw_input	DDA	qe_hf3	1863	fe24dbe7e494d2462998cf9989cb65247359ebb9217512f4bf3ca4ccb7e9799f
qe_hf3_missingness_features.csv.gz	processed_features	DDA	qe_hf3	219613	1b9a5043d91faa561c6a650897d25988da3bf8da0849dd79b07fc3a347da452c
qe_hf3_peptide_auc.csv	raw_input	DDA	qe_hf3	67659093	a47233349fd8e6e2147a5dcd15022f3781f420443d1e0ef9d16cc404fabdef6b
qe_hf4.pt	trained_model	DDA	qe_hf4	42192194	7d19bb1fa69a114feac6f947e7235fa5c49d5831116e23ef7c48c7f0e5614032
qe_hf4_good_samples.csv	raw_input	DDA	qe_hf4	2122	4ae77ee6b8e9ba2abb6452b5a4efdce46c991a802f7dc5d58fd014491d1b9528
qe_hf4_missingness_features.csv.gz	processed_features	DDA	qe_hf4	166829	ecd996eccb14b2b65334ef1c268508a4cdf85bbf139a4ae5e08ff7460219f689
qe_hf4_peptide_auc.csv	raw_input	DDA	qe_hf4	65126268	227c1c44abde442f816151db21fefb40761a3f69aba89c220bf8a8bba2cb335f
qe_plus.pt	trained_model	DDA	qe_plus	31468826	4003180885e753e672fa145fa50c4f3139e14d6b6d42f3eff6abb0f20ad24563
qe_plus_good_samples.csv	raw_input	DDA	qe_plus	2402	dee24d13672afc482b4165db788b5b5df2d59ee50f4c6ac2bf4ee35acb7dc121
qe_plus_missingness_features.csv.gz	processed_features	DDA	qe_plus	118743	6611bc23ae685aaed523de9c04ad304fcf20d25fe8dbdfb27934c42bdf4010d6
qe_plus_peptide_auc.csv	raw_input	DDA	qe_plus	54194349	93b4eeaf59c1cb59ea11c557e65eb002508d24f2e51ee7f3585928cd0907ebb5
sample_labels.csv	metadata	DDA_and_DIA	all	30590	569a27fa947f817f4ce65f6718df97dfe65e10d3628871cd73b620887a098a72
sample_quality_labels.xlsx	raw_input	DIA	m3	21897	d72360e7ca8a0d1bf39d3d7861620c3b353803489b7603d37742e7363e658519
